movieId,title,genres,description
1,Harry Potter and the Sorcerer's Stone,Fantasy|Adventure,A young boy discovers he's a wizard and attends Hogwarts School of Witchcraft and Wizardry.
2,Harry Potter and the Chamber of Secrets,Fantasy|Adventure,Harry's second year at Hogwarts as mysterious attacks terrorize the school.
3,Harry Potter and the Prisoner of Azkaban,Fantasy|Adventure,Harry learns about his past while a dangerous prisoner escapes from Azkaban.
4,Harry Potter and the Goblet of Fire,Fantasy|Adventure,Harry competes in the dangerous Triwizard Tournament against his will.
5,Harry Potter and the Order of Phoenix,Fantasy|Adventure,Harry forms Dumbledore's Army to fight against the dark forces rising.
6,Harry Potter and the Half-Blood Prince,Fantasy|Adventure,Harry learns about Voldemort's past while romance blooms at Hogwarts.
7,Harry Potter and the Deathly Hallows Part 1,Fantasy|Adventure,Harry, Ron and Hermione embark on a dangerous mission to destroy Horcruxes.
8,Harry Potter and the Deathly Hallows Part 2,Fantasy|Adventure,The epic finale where the battle between good and evil reaches its climax.
9,The Avengers,Action|Sci-Fi,Earth's mightiest heroes team up to stop Loki and his alien army.
10,Avengers: Age of Ultron,Action|Sci-Fi,The Avengers battle Ultron, an artificial intelligence bent on human extinction.
11,Avengers: Infinity War,Action|Sci-Fi,The Avengers and their allies fight to stop Thanos from collecting all Infinity Stones.
12,Avengers: Endgame,Action|Sci-Fi,The remaining Avengers travel through time to reverse Thanos' devastating actions.
13,Spider-Man: Homecoming,Action|Adventure,Peter Parker balances high school life with being Spider-Man.
14,Spider-Man: Far From Home,Action|Adventure,Peter goes on a European vacation but must fight mysterious creatures.
15,Spider-Man: No Way Home,Action|Adventure,Spider-Man's identity is revealed and he seeks help from Doctor Strange.
16,Black Panther,Action|Adventure,T'Challa returns to Wakanda to become king but faces a powerful challenger.
17,Guardians of the Galaxy,Action|Comedy,A group of intergalactic criminals must pull together to stop a fanatical warrior.
18,Doctor Strange,Fantasy|Action,A former surgeon becomes the Sorcerer Supreme protecting Earth from magical threats.
19,The Lord of the Rings: Fellowship of the Ring,Fantasy|Adventure,A young hobbit embarks on a journey to destroy a powerful ring.
20,The Lord of the Rings: Two Towers,Fantasy|Adventure,The fellowship is broken while the war for Middle-earth begins.
21,The Lord of the Rings: Return of the King,Fantasy|Adventure,The final battle for Middle-earth begins as Frodo reaches Mount Doom.
22,The Dark Knight,Action|Crime,Batman faces the Joker, a criminal mastermind who seeks to create chaos in Gotham.
23,Inception,Sci-Fi|Thriller,A thief who steals corporate secrets using dream-sharing technology is given a final chance.
24,The Matrix,Sci-Fi|Action,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.
25,Interstellar,Sci-Fi|Adventure,A team of explorers travel through a wormhole in space to ensure humanity's survival.
26,Star Wars: A New Hope,Sci-Fi|Adventure,Luke Skywalker joins forces with a Jedi Knight to rescue Princess Leia from the Empire.
27,The Empire Strikes Back,Sci-Fi|Adventure,After the rebels are overpowered by the Empire, Luke begins Jedi training with Yoda.
28,Return of the Jedi,Sci-Fi|Adventure,The rebels rescue Han Solo from Jabba the Hutt and face the Empire once more.
29,The Social Network,Drama|Biography,Harvard student Mark Zuckerberg creates the social networking site Facebook.
29,Forrest Gump,Drama|Comedy,The presidencies of Kennedy and Johnson through the eyes of an Alabama man with IQ of 75.
30,The Shawshank Redemption,Drama|Crime,Two imprisoned men bond over a number of years finding solace and eventual redemption.
31,The Godfather,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
32,Pulp Fiction,Crime|Drama,The lives of two mob hitmen, a boxer, and a pair of diner bandits intertwine in tales of violence.
33,Fight Club,Drama|Thriller,An insomniac office worker forms an underground fight club that evolves into something much bigger.
34,The Silence of the Lambs,Thriller|Crime,A young FBI cadet must receive the help of an incarcerated cannibal to catch another serial killer.
35,The Shining,Horror|Thriller,A family heads to an isolated hotel where a sinister presence influences the father into violence.
36,Get Out,Horror|Thriller,A young African-American visits his white girlfriend's parents for the weekend in this psychological horror.
37,La La Land,Musical|Romance,While navigating their careers in Los Angeles, a pianist and an actress fall in love.
38,The Notebook,Romance|Drama,A poor yet passionate young man falls in love with a rich young woman in 1940s South Carolina.
39,Titanic,Romance|Drama,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious Titanic.
40,Jurassic Park,Adventure|Sci-Fi,A pragmatic paleontologist visits a theme park where dinosaurs are brought back to life.
